hashtag,video_url,username,caption,views,full_text
GhanaInUK,https://www.tiktok.com/@ghanainu/video/7488415368147455263,ghanainu,ghanainu,0,ghanainu
GhanaInUK,https://www.tiktok.com/@maameserwaa_asare/video/7499566236930428182,maameserwaa_asare,maameserwaa_asare,0,maameserwaa_asare
GhanaInUK,https://www.tiktok.com/@suspensussss/video/7506653656343743766,suspensussss,suspensussss,0,suspensussss
GhanaInUK,https://www.tiktok.com/@erica_baffour/video/7480146221806505221,erica_baffour,erica_baffour,0,erica_baffour
GhanaInUK,https://www.tiktok.com/@wofafoodtour/video/7499087959539469590,wofafoodtour,wofafoodtour,0,wofafoodtour
GhanaInUK,https://www.tiktok.com/@djkingbizzy1/video/7278424080993275179,djkingbizzy1,djkingbizzy1,1,djkingbizzy1
GhanaInUK,https://www.tiktok.com/@miss_liverpool/video/7498014461983280406,miss_liverpool,miss_liverpool,0,miss_liverpool
GhanaInUK,https://www.tiktok.com/@suyagarden_/video/7527621317349330198,suyagarden_,suyagarden_,0,suyagarden_
GhanaInUK,https://www.tiktok.com/@raen_beauty_hub/video/7524685382550654214,raen_beauty_hub,raen_beauty_hub,0,raen_beauty_hub
GhanaInUK,https://www.tiktok.com/@kotokurabamarketuk/video/7314981831064030497,kotokurabamarketuk,kotokurabamarketuk,0,kotokurabamarketuk
GhanaInUK,https://www.tiktok.com/@kwamevirgin9/video/7509558405736975638,kwamevirgin9,kwamevirgin9,9,kwamevirgin9
GhanaInUK,https://www.tiktok.com/@glamorousbeauty7/video/7002338055755517189,glamorousbeauty7,glamorousbeauty7,7,glamorousbeauty7
GhanaInUK,https://www.tiktok.com/@awo.kitchen/video/7511048153773165846,awo.kitchen,awo.kitchen,0,awo.kitchen
GhanaInUK,https://www.tiktok.com/@shopnsend_logistics/video/7549984684768382230,shopnsend_logistics,shopnsend_logistics,0,shopnsend_logistics
GhanaInUK,https://www.tiktok.com/@akosua_jenfua/video/7471730781665135894,akosua_jenfua,akosua_jenfua,0,akosua_jenfua
GhanaInUK,https://www.tiktok.com/@elidyscouture/video/7485459844766453014,elidyscouture,elidyscouture,0,elidyscouture
GhanaInUK,https://www.tiktok.com/@ahwenepankasaafya08/video/7240034176383175963,ahwenepankasaafya08,ahwenepankasaafya08,08,ahwenepankasaafya08
GhanaInUK,https://www.tiktok.com/@abigailamachapaman/video/7143209756474281221,abigailamachapaman,abigailamachapaman,0,abigailamachapaman
GhanaInUK,https://www.tiktok.com/@yourhighness3331/video/7504389633833372930,yourhighness3331,yourhighness3331,3331,yourhighness3331
GhanaInUK,https://www.tiktok.com/@ghanainu/video/7520668072148028686,ghanainu,ghanainu,0,ghanainu
GhanaInUK,https://www.tiktok.com/@abrokyireaba/video/7150338405438737669,abrokyireaba,abrokyireaba,0,abrokyireaba
GhanaInUK,https://www.tiktok.com/@kejetiafoodsonline/video/7510220629413547286,kejetiafoodsonline,kejetiafoodsonline,0,kejetiafoodsonline
GhanaInUK,https://www.tiktok.com/@akosua_jenfua/video/7467623143939542304,akosua_jenfua,akosua_jenfua,0,akosua_jenfua
GhanaInUK,https://www.tiktok.com/@emma1921433/video/7397388948835781921,emma1921433,emma1921433,1921433,emma1921433
GhanaInUK,https://www.tiktok.com/@ghanainu/video/7475795487111761198,ghanainu,ghanainu,0,ghanainu
GhanaInUK,https://www.tiktok.com/@ghanainu/video/7473184054859287854,ghanainu,ghanainu,0,ghanainu
GhanaInUK,https://www.tiktok.com/@bintu_hajia/video/7391461293779078406,bintu_hajia,bintu_hajia,0,bintu_hajia
GhanaInUK,https://www.tiktok.com/@princess.yeboah.m/video/7488992072142195990,princess.yeboah.m,princess.yeboah.m,0,princess.yeboah.m
GhanaInUK,https://www.tiktok.com/@nhyiraba_haircut/video/7237533535131798790,nhyiraba_haircut,nhyiraba_haircut,0,nhyiraba_haircut
GhanaInUK,https://www.tiktok.com/@realtimzz_t96/video/7549857748519800086,realtimzz_t96,realtimzz_t96,96,realtimzz_t96
GhanaInUK,https://www.tiktok.com/@legitwinner/video/7479496066119912726,legitwinner,legitwinner,0,legitwinner
GhanaInUK,https://www.tiktok.com/@tina_news_gh/video/7442678720504122680,tina_news_gh,tina_news_gh,0,tina_news_gh
GhanaInUK,https://www.tiktok.com/@9ja.gossip1/video/7543941881747508502,9ja.gossip1,9ja.gossip1,9,9ja.gossip1
GhanaInUK,https://www.tiktok.com/@ashanti_princess14/video/7191902184207027462,ashanti_princess14,ashanti_princess14,14,ashanti_princess14
GhanaInUK,https://www.tiktok.com/@queenasumadu/video/7489513777797385527,queenasumadu,queenasumadu,0,queenasumadu
GhanaInUK,https://www.tiktok.com/@sugar.1.tv/video/7422522249506295083,sugar.1.tv,sugar.1.tv,1,sugar.1.tv
GhanaInUK,https://www.tiktok.com/@hanainuk/video/7346733836761369888,hanainuk,hanainuk,0,hanainuk
GhanaInUK,https://www.tiktok.com/@akosua.real/video/7358989421871435041,akosua.real,akosua.real,0,akosua.real
GhanaInUK,https://www.tiktok.com/@jenn._xq/video/7296954874346949920,jenn._xq,jenn._xq,0,jenn._xq
GhanaInUK,https://www.tiktok.com/@kelly_monova/video/7343269741093571873,kelly_monova,kelly_monova,0,kelly_monova
GhanaInUK,https://www.tiktok.com/@jenniferlomotey85/video/7428174839027977505,jenniferlomotey85,jenniferlomotey85,85,jenniferlomotey85
GhanaInUK,https://www.tiktok.com/@thatgirlfioo/video/7202929526274411781,thatgirlfioo,thatgirlfioo,0,thatgirlfioo
GhanaInUK,https://www.tiktok.com/@abenaemrys/video/7452343790347586821,abenaemrys,abenaemrys,0,abenaemrys
GhanaInUK,https://www.tiktok.com/@etlvisualdiary/video/7534313351799737622,etlvisualdiary,etlvisualdiary,0,etlvisualdiary
GhanaInUK,https://www.tiktok.com/@bolatitrendz/video/7546576382797548806,bolatitrendz,bolatitrendz,0,bolatitrendz
GhanaInUK,https://www.tiktok.com/@nsawam.market/video/7503245685291076886,nsawam.market,nsawam.market,0,nsawam.market
GhanaInUK,https://www.tiktok.com/@thommasssss/video/7270981353678621985,thommasssss,thommasssss,0,thommasssss
GhanaInUK,https://www.tiktok.com/@amariah.lawal/video/7361776126374546721,amariah.lawal,amariah.lawal,0,amariah.lawal
GhanaInUK,https://www.tiktok.com/@yesghanaonline/video/7095621015685942534,yesghanaonline,yesghanaonline,0,yesghanaonline
GhanaInUK,https://www.tiktok.com/@princess.michy2/video/7544445268259867926,princess.michy2,princess.michy2,2,princess.michy2
GhanaInUSA,https://www.tiktok.com/@ladieoftheladies_/video/7476594992291646751,ladieoftheladies_,ladieoftheladies_,0,ladieoftheladies_
GhanaInUSA,https://www.tiktok.com/@ivanna_matchmaker/video/7550395047405964566,ivanna_matchmaker,ivanna_matchmaker,0,ivanna_matchmaker
GhanaInUSA,https://www.tiktok.com/@naanadonkorarthur/video/7549489893332880695,naanadonkorarthur,naanadonkorarthur,0,naanadonkorarthur
GhanaInUSA,https://www.tiktok.com/@houstonsgotspice/video/7393384009956461867,houstonsgotspice,houstonsgotspice,0,houstonsgotspice
GhanaInUSA,https://www.tiktok.com/@msefah55/video/7550419605018234117,msefah55,msefah55,55,msefah55
GhanaInUSA,https://www.tiktok.com/@mustaphabekoe/video/7373835045544512774,mustaphabekoe,mustaphabekoe,0,mustaphabekoe
GhanaInUSA,https://www.tiktok.com/@dek360ghana/video/7550085616315272504,dek360ghana,dek360ghana,360,dek360ghana
GhanaInUSA,https://www.tiktok.com/@supermomakos/video/7328810757531929898,supermomakos,supermomakos,0,supermomakos
GhanaInUSA,https://www.tiktok.com/@djnadwa/video/7545125788706721046,djnadwa,djnadwa,0,djnadwa
GhanaInUSA,https://www.tiktok.com/@degraft99/video/7442180132384574766,degraft99,degraft99,99,degraft99
GhanaInUSA,https://www.tiktok.com/@supermomakos/video/7339056515782855978,supermomakos,supermomakos,0,supermomakos
GhanaInUSA,https://www.tiktok.com/@nicolasnuvan/video/7493973963605888287,nicolasnuvan,nicolasnuvan,0,nicolasnuvan
GhanaInUSA,https://www.tiktok.com/@official.the.o/video/7211731969183321390,official.the.o,official.the.o,0,official.the.o
GhanaInUSA,https://www.tiktok.com/@factwire_studio/video/7547809708455873848,factwire_studio,factwire_studio,0,factwire_studio
GhanaInUSA,https://www.tiktok.com/@miltexiabblessed/video/7354528547081293099,miltexiabblessed,miltexiabblessed,0,miltexiabblessed
GhanaInUSA,https://www.tiktok.com/@buckle7.7/video/7549726959513734414,buckle7.7,buckle7.7,7.7,buckle7.7
GhanaInUSA,https://www.tiktok.com/@theworldlywonderer/video/7549490785096437014,theworldlywonderer,theworldlywonderer,0,theworldlywonderer
GhanaInUSA,https://www.tiktok.com/@sapato.oumar.alma/video/7550532385482329400,sapato.oumar.alma,sapato.oumar.alma,0,sapato.oumar.alma
GhanaInUSA,https://www.tiktok.com/@pierreporterofficial/video/7187075683401600299,pierreporterofficial,pierreporterofficial,0,pierreporterofficial
GhanaInUSA,https://www.tiktok.com/@anhistorylover/video/7550424338256727327,anhistorylover,anhistorylover,0,anhistorylover
GhanaInUSA,https://www.tiktok.com/@_priisscaaaa.x/video/7103218401597803782,_priisscaaaa.x,_priisscaaaa.x,0,_priisscaaaa.x
GhanaInUSA,https://www.tiktok.com/@kwasi.nkrumah/video/7317809735959612718,kwasi.nkrumah,kwasi.nkrumah,0,kwasi.nkrumah
GhanaInUSA,https://www.tiktok.com/@lyinethabenaachea/video/7508793228921965830,lyinethabenaachea,lyinethabenaachea,0,lyinethabenaachea
GhanaInUSA,https://www.tiktok.com/@pofanaairfreight/video/7507834326722170142,pofanaairfreight,pofanaairfreight,0,pofanaairfreight
GhanaInUSA,https://www.tiktok.com/@blogwithmcb/video/7282778191087914245,blogwithmcb,blogwithmcb,0,blogwithmcb
GhanaInUSA,https://www.tiktok.com/@kittykemerink/video/7316124883769888005,kittykemerink,kittykemerink,0,kittykemerink
GhanaInUSA,https://www.tiktok.com/@umuh_k/video/7255398386654858502,umuh_k,umuh_k,0,umuh_k
GhanaInUSA,https://www.tiktok.com/@yawwwsam/video/7516675854911474974,yawwwsam,yawwwsam,0,yawwwsam
GhanaInUSA,https://www.tiktok.com/@supermomakos/video/7337041483117219118,supermomakos,supermomakos,0,supermomakos
GhanaInUSA,https://www.tiktok.com/@yve41_/video/7395704057962351918,yve41_,yve41_,41,yve41_
GhanaInUSA,https://www.tiktok.com/@mawuliobiadepahsuzzy5/video/7467580426912009479,mawuliobiadepahsuzzy5,mawuliobiadepahsuzzy5,5,mawuliobiadepahsuzzy5
GhanaInUSA,https://www.tiktok.com/@officialcindy_cash/video/7467232328947944710,officialcindy_cash,@Official Cindy cash,0,@Official Cindy cash
GhanaInUSA,https://www.tiktok.com/@tr3nding_2/video/7526524222152199480,tr3nding_2,tr3nding_2,3,tr3nding_2
GhanaInUSA,https://www.tiktok.com/@irene_nketia/video/7512156247567715614,irene_nketia,irene_nketia,0,irene_nketia
GhanaInUSA,https://www.tiktok.com/@k3zi.ah/video/7515884258758561046,k3zi.ah,k3zi.ah,3,k3zi.ah
GhanaInUSA,https://www.tiktok.com/@fitmomnura/video/7530468423566888205,fitmomnura,fitmomnura,0,fitmomnura
GhanaInUSA,https://www.tiktok.com/@rekaj1/video/7463998799740996870,rekaj1,rekaj1,1,rekaj1
GhanaInUSA,https://www.tiktok.com/@josephkatumba/video/7241505885334277381,josephkatumba,josephkatumba,0,josephkatumba
GhanaInUSA,https://www.tiktok.com/@peace.dawah.media/video/7314270485976567082,peace.dawah.media,peace.dawah.media,0,peace.dawah.media
GhanaInUSA,https://www.tiktok.com/@mustaphabekoe/video/7356963538650451205,mustaphabekoe,mustaphabekoe,0,mustaphabekoe
GhanaInUSA,https://www.tiktok.com/@_samcharles_/video/7315949793124109610,_samcharles_,_samcharles_,0,_samcharles_
GhanaInUSA,https://www.tiktok.com/@sunyanieastndcyouthwing/video/7544576628433685816,sunyanieastndcyouthwing,sunyanieastndcyouthwing,0,sunyanieastndcyouthwing
GhanaInUSA,https://www.tiktok.com/@thereasonshow/video/7262925409950534958,thereasonshow,thereasonshow,0,thereasonshow
GhanaInUSA,https://www.tiktok.com/@keeplifegh03/video/7479116891529743638,keeplifegh03,keeplifegh03,03,keeplifegh03
GhanaInUSA,https://www.tiktok.com/@360_bloggers/video/7522402294428667142,360_bloggers,360_bloggers,360,360_bloggers
GhanaInUSA,https://www.tiktok.com/@_krissya_/video/7508900296442088709,_krissya_,_krissya_,0,_krissya_
GhanaInUSA,https://www.tiktok.com/@kc3videos/video/7346328025874664746,kc3videos,kc3videos,3,kc3videos
GhanaInUSA,https://www.tiktok.com/@dr.lexi_senu/video/7502174810177309983,dr.lexi_senu,dr.lexi_senu,0,dr.lexi_senu
GhanaInUSA,https://www.tiktok.com/@starlikedani_/video/7481491299737079082,starlikedani_,starlikedani_,0,starlikedani_
GhanaInUSA,https://www.tiktok.com/@nyame_ba23/video/7542962660099329293,nyame_ba23,nyame_ba23,23,nyame_ba23
AfricanInUK,https://www.tiktok.com/@wosiwosiuk/video/7465032602047581472,wosiwosiuk,wosiwosiuk,0,wosiwosiuk
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7493211876164177174,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@queenettecouture_uk/video/7340957378633895201,queenettecouture_uk,queenettecouture_uk,0,queenettecouture_uk
AfricanInUK,https://www.tiktok.com/@_lifewith.ayandayende/video/7349643714433699105,_lifewith.ayandayende,_lifewith.ayandayende,0,_lifewith.ayandayende
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7462678032726183201,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7522099372197219606,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@lindyfoods_uk/video/7379911576012279072,lindyfoods_uk,lindyfoods_uk,0,lindyfoods_uk
AfricanInUK,https://www.tiktok.com/@bumexcouture_uk/video/7463224891425295621,bumexcouture_uk,bumexcouture_uk,0,bumexcouture_uk
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7458225825406618912,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@giftwogu/video/7230810069217135899,giftwogu,giftwogu,0,giftwogu
AfricanInUK,https://www.tiktok.com/@iamparay/video/7510624785659858198,iamparay,iamparay,0,iamparay
AfricanInUK,https://www.tiktok.com/@radiyah97/video/7474698951216696578,radiyah97,radiyah97,97,radiyah97
AfricanInUK,https://www.tiktok.com/@midas_africanfooduk/video/7395108780356259078,midas_africanfooduk,midas_africanfooduk,0,midas_africanfooduk
AfricanInUK,https://www.tiktok.com/@adoraszone/video/7231962467990113563,adoraszone,adoraszone,0,adoraszone
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7524972497482026262,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@deejoblessmillionaire/video/7499597886292757782,deejoblessmillionaire,deejoblessmillionaire,0,deejoblessmillionaire
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7519806706633706775,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@crowned.dad/video/7539702481912302870,crowned.dad,crowned.dad,0,crowned.dad
AfricanInUK,https://www.tiktok.com/@realgeneral35/video/7494347611080543510,realgeneral35,realgeneral35,35,realgeneral35
AfricanInUK,https://www.tiktok.com/@deejoblessmillionaire/video/7530519309366414614,deejoblessmillionaire,deejoblessmillionaire,0,deejoblessmillionaire
AfricanInUK,https://www.tiktok.com/@sa_foodnspices/video/7273899779124432133,sa_foodnspices,sa_foodnspices,0,sa_foodnspices
AfricanInUK,https://www.tiktok.com/@yaweefoods/video/7519533445991664918,yaweefoods,yaweefoods,0,yaweefoods
AfricanInUK,https://www.tiktok.com/@marelda_african_foodsuk/video/7537047525174332694,marelda_african_foodsuk,marelda_african_foodsuk,0,marelda_african_foodsuk
AfricanInUK,https://www.tiktok.com/@zion_oshiobugie/video/7530503410873928982,zion_oshiobugie,zion_oshiobugie,0,zion_oshiobugie
AfricanInUK,https://www.tiktok.com/@houseofgilgal3/video/7550581094085676310,houseofgilgal3,houseofgilgal3,3,houseofgilgal3
AfricanInUK,https://www.tiktok.com/@mummyashake_/video/7400423668142148869,mummyashake_,mummyashake_,0,mummyashake_
AfricanInUK,https://www.tiktok.com/@queenettecouture_uk/video/7473110947872197910,queenettecouture_uk,queenettecouture_uk,0,queenettecouture_uk
AfricanInUK,https://www.tiktok.com/@diaspora_ph/video/7538603096058891542,diaspora_ph,diaspora_ph,0,diaspora_ph
AfricanInUK,https://www.tiktok.com/@mamadeemoments/video/7520939470204554518,mamadeemoments,mamadeemoments,0,mamadeemoments
AfricanInUK,https://www.tiktok.com/@bukkyshow1backup/video/7474222841077042454,bukkyshow1backup,bukkyshow1backup,1,bukkyshow1backup
AfricanInUK,https://www.tiktok.com/@african_fashion_uk/video/7520721051110640918,african_fashion_uk,african_fashion_uk,0,african_fashion_uk
AfricanInUK,https://www.tiktok.com/@brownboythetraveller/video/7534772660866419990,brownboythetraveller,brownboythetraveller,0,brownboythetraveller
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7549080607712627990,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@_anaberry_/video/7468804452254764320,_anaberry_,_anaberry_,0,_anaberry_
AfricanInUK,https://www.tiktok.com/@queenettecouture_uk/video/7473149689068555542,queenettecouture_uk,queenettecouture_uk,0,queenettecouture_uk
AfricanInUK,https://www.tiktok.com/@africansavourers/video/7529905416118242582,africansavourers,africansavourers,0,africansavourers
AfricanInUK,https://www.tiktok.com/@officialabenauk/video/7265049227196140805,officialabenauk,officialabenauk,0,officialabenauk
AfricanInUK,https://www.tiktok.com/@moridiyyah_anu/video/7550426622105505046,moridiyyah_anu,moridiyyah_anu,0,moridiyyah_anu
AfricanInUK,https://www.tiktok.com/@dailymailuk/video/7542556058334596354,dailymailuk,dailymailuk,0,dailymailuk
AfricanInUK,https://www.tiktok.com/@everydayhealthtipsuk/video/7518052187407240470,everydayhealthtipsuk,everydayhealthtipsuk,0,everydayhealthtipsuk
AfricanInUK,https://www.tiktok.com/@molabsfoodmart_uk/video/7548146978631224598,molabsfoodmart_uk,molabsfoodmart_uk,0,molabsfoodmart_uk
AfricanInUK,https://www.tiktok.com/@justkarabochauke/video/7392130048347671839,justkarabochauke,justkarabochauke,0,justkarabochauke
AfricanInUK,https://www.tiktok.com/@fave_smith2/video/7405853509498785057,fave_smith2,fave_smith2,2,fave_smith2
AfricanInUK,https://www.tiktok.com/@tattyark9/video/7145756421211114757,tattyark9,tattyark9,9,tattyark9
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7548338786862746902,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@maameserwaa_asare/video/7499566236930428182,maameserwaa_asare,maameserwaa_asare,0,maameserwaa_asare
AfricanInUK,https://www.tiktok.com/@ajokefoodhub/video/7347060210109910277,ajokefoodhub,ajokefoodhub,0,ajokefoodhub
AfricanInUK,https://www.tiktok.com/@lyricalmindsuk/video/7482733574777507094,lyricalmindsuk,lyricalmindsuk,0,lyricalmindsuk
AfricanInUK,https://www.tiktok.com/@librakingent/video/7318736863836048683,librakingent,librakingent,0,librakingent
AfricanInUK,https://www.tiktok.com/@peace.o22/video/7537614944225840406,peace.o22,peace.o22,22,peace.o22
